Country,Year,Antibiotic_Group,S,I,R,TotalN,pS,pI,pR
Austria,2005,Fluoroquinolones,74,4,10,88,84.1 %,4.5 %,11.4 %
Austria,2006,Fluoroquinolones,390,7,35,432,90.3 %,1.6 %,8.1 %
Austria,2007,Fluoroquinolones,384,5,56,445,86.3 %,1.1 %,12.6 %
Austria,2008,Fluoroquinolones,497,16,68,581,85.5 %,2.8 %,11.7 %
Austria,2009,Fluoroquinolones,541,12,51,604,89.6 %,2.0 %,8.4 %
Austria,2010,Fluoroquinolones,576,13,131,720,80.0 %,1.8 %,18.2 %
Austria,2011,Fluoroquinolones,649,16,132,797,81.4 %,2.0 %,16.6 %
Austria,2012,Fluoroquinolones,687,14,128,829,82.9 %,1.7 %,15.4 %
Austria,2013,Fluoroquinolones,759,20,146,925,82.1 %,2.2 %,15.8 %
Belgium,2009,Fluoroquinolones,120,3,19,142,84.5 %,2.1 %,13.4 %
Belgium,2010,Fluoroquinolones,118,8,18,144,81.9 %,5.6 %,12.5 %
Belgium,2011,Fluoroquinolones,546,18,99,663,82.4 %,2.7 %,14.9 %
Belgium,2012,Fluoroquinolones,430,10,92,532,80.8 %,1.9 %,17.3 %
Belgium,2013,Fluoroquinolones,480,17,142,639,75.1 %,2.7 %,22.2 %
Bulgaria,2005,Fluoroquinolones,25,0,9,34,73.5 %,0.0 %,26.5 %
Bulgaria,2006,Fluoroquinolones,40,2,13,55,72.7 %,3.6 %,23.6 %
Bulgaria,2007,Fluoroquinolones,16,1,12,29,55.2 %,3.4 %,41.4 %
Bulgaria,2008,Fluoroquinolones,22,1,25,48,45.8 %,2.1 %,52.1 %
Bulgaria,2009,Fluoroquinolones,47,2,46,95,49.5 %,2.1 %,48.4 %
Bulgaria,2010,Fluoroquinolones,53,7,66,126,42.1 %,5.6 %,52.4 %
Bulgaria,2011,Fluoroquinolones,52,7,62,121,43.0 %,5.8 %,51.2 %
Bulgaria,2012,Fluoroquinolones,60,7,60,127,47.2 %,5.5 %,47.2 %
Bulgaria,2013,Fluoroquinolones,66,9,63,138,47.8 %,6.5 %,45.7 %
Croatia,2010,Fluoroquinolones,138,8,132,278,49.6 %,2.9 %,47.5 %
Croatia,2011,Fluoroquinolones,165,3,124,292,56.5 %,1.0 %,42.5 %
Croatia,2012,Fluoroquinolones,174,15,142,331,52.6 %,4.5 %,42.9 %
Croatia,2013,Fluoroquinolones,197,15,161,373,52.8 %,4.0 %,43.2 %
Cyprus,2005,Fluoroquinolones,7,0,2,9,77.8 %,0.0 %,22.2 %
Cyprus,2006,Fluoroquinolones,23,0,3,26,88.5 %,0.0 %,11.5 %
Cyprus,2007,Fluoroquinolones,30,0,9,39,76.9 %,0.0 %,23.1 %
Cyprus,2008,Fluoroquinolones,48,0,14,62,77.4 %,0.0 %,22.6 %
Cyprus,2009,Fluoroquinolones,30,0,23,53,56.6 %,0.0 %,43.4 %
Cyprus,2010,Fluoroquinolones,41,0,26,67,61.2 %,0.0 %,38.8 %
Cyprus,2011,Fluoroquinolones,49,4,30,83,59.0 %,4.8 %,36.1 %
Cyprus,2012,Fluoroquinolones,49,2,14,65,75.4 %,3.1 %,21.5 %
Cyprus,2013,Fluoroquinolones,50,2,16,68,73.5 %,2.9 %,23.5 %
Czech Republic,2005,Fluoroquinolones,296,0,182,478,61.9 %,0.0 %,38.1 %
Czech Republic,2006,Fluoroquinolones,594,0,535,1129,52.6 %,0.0 %,47.4 %
Czech Republic,2007,Fluoroquinolones,635,0,595,1230,51.6 %,0.0 %,48.4 %
Czech Republic,2008,Fluoroquinolones,723,0,769,1492,48.5 %,0.0 %,51.5 %
Czech Republic,2009,Fluoroquinolones,647,0,768,1415,45.7 %,0.0 %,54.3 %
Czech Republic,2010,Fluoroquinolones,518,49,696,1263,41.0 %,3.9 %,55.1 %
Czech Republic,2011,Fluoroquinolones,586,21,680,1287,45.5 %,1.6 %,52.8 %
Czech Republic,2012,Fluoroquinolones,661,33,705,1399,47.2 %,2.4 %,50.4 %
Czech Republic,2013,Fluoroquinolones,629,46,616,1291,48.7 %,3.6 %,47.7 %
Denmark,2006,Fluoroquinolones,476,19,32,527,90.3 %,3.6 %,6.1 %
Denmark,2007,Fluoroquinolones,608,27,98,733,82.9 %,3.7 %,13.4 %
Denmark,2008,Fluoroquinolones,599,22,118,739,81.1 %,3.0 %,16.0 %
Denmark,2009,Fluoroquinolones,634,29,128,791,80.2 %,3.7 %,16.2 %
Denmark,2010,Fluoroquinolones,587,10,76,673,87.2 %,1.5 %,11.3 %
Denmark,2011,Fluoroquinolones,767,18,103,888,86.4 %,2.0 %,11.6 %
Denmark,2012,Fluoroquinolones,835,23,83,941,88.7 %,2.4 %,8.8 %
Denmark,2013,Fluoroquinolones,774,22,78,874,88.6 %,2.5 %,8.9 %
Estonia,2005,Fluoroquinolones,37,1,0,38,97.4 %,2.6 %,0.0 %
Estonia,2006,Fluoroquinolones,37,2,2,41,90.2 %,4.9 %,4.9 %
Estonia,2007,Fluoroquinolones,55,0,1,56,98.2 %,0.0 %,1.8 %
Estonia,2008,Fluoroquinolones,54,3,4,61,88.5 %,4.9 %,6.6 %
Estonia,2009,Fluoroquinolones,47,0,11,58,81.0 %,0.0 %,19.0 %
Estonia,2010,Fluoroquinolones,47,1,16,64,73.4 %,1.6 %,25.0 %
Estonia,2011,Fluoroquinolones,69,2,20,91,75.8 %,2.2 %,22.0 %
Estonia,2012,Fluoroquinolones,71,1,15,87,81.6 %,1.1 %,17.2 %
Estonia,2013,Fluoroquinolones,66,0,24,90,73.3 %,0.0 %,26.7 %
Finland,2005,Fluoroquinolones,148,2,5,155,95.5 %,1.3 %,3.2 %
Finland,2006,Fluoroquinolones,215,4,9,228,94.3 %,1.8 %,3.9 %
Finland,2007,Fluoroquinolones,267,4,2,273,97.8 %,1.5 %,0.7 %
Finland,2008,Fluoroquinolones,280,1,6,287,97.6 %,0.3 %,2.1 %
Finland,2009,Fluoroquinolones,358,5,12,375,95.5 %,1.3 %,3.2 %
Finland,2010,Fluoroquinolones,386,5,10,401,96.3 %,1.2 %,2.5 %
Finland,2011,Fluoroquinolones,384,9,11,404,95.0 %,2.2 %,2.7 %
Finland,2012,Fluoroquinolones,510,15,11,536,95.1 %,2.8 %,2.1 %
Finland,2013,Fluoroquinolones,512,11,14,537,95.3 %,2.0 %,2.6 %
France,2005,Fluoroquinolones,740,38,60,838,88.3 %,4.5 %,7.2 %
France,2006,Fluoroquinolones,820,38,80,938,87.4 %,4.1 %,8.5 %
France,2007,Fluoroquinolones,970,40,165,1175,82.6 %,3.4 %,14.0 %
France,2008,Fluoroquinolones,792,38,215,1045,75.8 %,3.6 %,20.6 %
France,2009,Fluoroquinolones,981,46,325,1352,72.6 %,3.4 %,24.0 %
France,2010,Fluoroquinolones,1145,49,333,1527,75.0 %,3.2 %,21.8 %
France,2011,Fluoroquinolones,1160,52,471,1683,68.9 %,3.1 %,28.0 %
France,2012,Fluoroquinolones,1225,53,413,1691,72.4 %,3.1 %,24.4 %
France,2013,Fluoroquinolones,1299,53,564,1916,67.8 %,2.8 %,29.4 %
Germany,2005,Fluoroquinolones,97,2,6,105,92.4 %,1.9 %,5.7 %
Germany,2006,Fluoroquinolones,123,6,18,147,83.7 %,4.1 %,12.2 %
Germany,2007,Fluoroquinolones,154,3,16,173,89.0 %,1.7 %,9.2 %
Germany,2008,Fluoroquinolones,198,1,36,235,84.3 %,0.4 %,15.3 %
Germany,2009,Fluoroquinolones,405,3,71,479,84.6 %,0.6 %,14.8 %
Germany,2010,Fluoroquinolones,404,3,71,478,84.5 %,0.6 %,14.9 %
Germany,2011,Fluoroquinolones,437,9,73,519,84.2 %,1.7 %,14.1 %
Germany,2012,Fluoroquinolones,561,11,91,663,84.6 %,1.7 %,13.7 %
Germany,2013,Fluoroquinolones,614,21,110,745,82.4 %,2.8 %,14.8 %
Greece,2005,Fluoroquinolones,330,22,420,772,42.7 %,2.8 %,54.4 %
Greece,2006,Fluoroquinolones,402,21,417,840,47.9 %,2.5 %,49.6 %
Greece,2007,Fluoroquinolones,407,28,533,968,42.0 %,2.9 %,55.1 %
Greece,2008,Fluoroquinolones,362,19,686,1067,33.9 %,1.8 %,64.3 %
Greece,2009,Fluoroquinolones,537,22,1067,1626,33.0 %,1.4 %,65.6 %
Greece,2010,Fluoroquinolones,470,18,1188,1676,28.0 %,1.1 %,70.9 %
Greece,2011,Fluoroquinolones,407,47,1181,1635,24.9 %,2.9 %,72.2 %
Greece,2012,Fluoroquinolones,423,10,995,1428,29.6 %,0.7 %,69.7 %
Greece,2013,Fluoroquinolones,370,10,792,1172,31.6 %,0.9 %,67.6 %
Hungary,2005,Fluoroquinolones,223,3,59,285,78.2 %,1.1 %,20.7 %
Hungary,2006,Fluoroquinolones,235,3,35,273,86.1 %,1.1 %,12.8 %
Hungary,2007,Fluoroquinolones,245,4,71,320,76.6 %,1.3 %,22.2 %
Hungary,2008,Fluoroquinolones,240,5,120,365,65.8 %,1.4 %,32.9 %
Hungary,2009,Fluoroquinolones,231,6,118,355,65.1 %,1.7 %,33.2 %
Hungary,2010,Fluoroquinolones,275,13,216,504,54.6 %,2.6 %,42.9 %
Hungary,2011,Fluoroquinolones,204,2,214,420,48.6 %,0.5 %,51.0 %
Hungary,2012,Fluoroquinolones,280,3,202,485,57.7 %,0.6 %,41.6 %
Hungary,2013,Fluoroquinolones,339,7,209,555,61.1 %,1.3 %,37.7 %
Iceland,2005,Fluoroquinolones,20,1,0,21,95.2 %,4.8 %,0.0 %
Iceland,2006,Fluoroquinolones,12,0,0,12,100.0 %,0.0 %,0.0 %
Iceland,2007,Fluoroquinolones,26,0,0,26,100.0 %,0.0 %,0.0 %
Iceland,2008,Fluoroquinolones,22,0,2,24,91.7 %,0.0 %,8.3 %
Iceland,2009,Fluoroquinolones,26,0,0,26,100.0 %,0.0 %,0.0 %
Iceland,2010,Fluoroquinolones,24,0,0,24,100.0 %,0.0 %,0.0 %
Iceland,2011,Fluoroquinolones,23,0,1,24,95.8 %,0.0 %,4.2 %
Iceland,2012,Fluoroquinolones,11,2,1,14,78.6 %,14.3 %,7.1 %
Iceland,2013,Fluoroquinolones,28,0,0,28,100.0 %,0.0 %,0.0 %
Ireland,2005,Fluoroquinolones,39,0,1,40,97.5 %,0.0 %,2.5 %
Ireland,2006,Fluoroquinolones,169,2,32,203,83.3 %,1.0 %,15.8 %
Ireland,2007,Fluoroquinolones,187,5,38,230,81.3 %,2.2 %,16.5 %
Ireland,2008,Fluoroquinolones,263,7,32,302,87.1 %,2.3 %,10.6 %
Ireland,2009,Fluoroquinolones,274,7,34,315,87.0 %,2.2 %,10.8 %
Ireland,2010,Fluoroquinolones,288,4,26,318,90.6 %,1.3 %,8.2 %
Ireland,2011,Fluoroquinolones,266,10,27,303,87.8 %,3.3 %,8.9 %
Ireland,2012,Fluoroquinolones,300,13,25,338,88.8 %,3.8 %,7.4 %
Ireland,2013,Fluoroquinolones,251,19,46,316,79.4 %,6.0 %,14.6 %
Italy,2005,Fluoroquinolones,277,5,36,318,87.1 %,1.6 %,11.3 %
Italy,2006,Fluoroquinolones,235,2,71,308,76.3 %,0.6 %,23.1 %
Italy,2007,Fluoroquinolones,264,5,101,370,71.4 %,1.4 %,27.3 %
Italy,2008,Fluoroquinolones,222,2,85,309,71.8 %,0.6 %,27.5 %
Italy,2009,Fluoroquinolones,236,2,61,299,78.9 %,0.7 %,20.4 %
Italy,2010,Fluoroquinolones,420,8,268,696,60.3 %,1.1 %,38.5 %
Italy,2011,Fluoroquinolones,312,12,273,597,52.3 %,2.0 %,45.7 %
Italy,2012,Fluoroquinolones,403,15,417,835,48.3 %,1.8 %,49.9 %
Italy,2013,Fluoroquinolones,617,34,777,1428,43.2 %,2.4 %,54.4 %
Latvia,2006,Fluoroquinolones,19,1,7,27,70.4 %,3.7 %,25.9 %
Latvia,2007,Fluoroquinolones,19,0,7,26,73.1 %,0.0 %,26.9 %
Latvia,2008,Fluoroquinolones,21,1,18,40,52.5 %,2.5 %,45.0 %
Latvia,2009,Fluoroquinolones,28,1,15,44,63.6 %,2.3 %,34.1 %
Latvia,2010,Fluoroquinolones,29,1,33,63,46.0 %,1.6 %,52.4 %
Latvia,2011,Fluoroquinolones,39,0,24,63,61.9 %,0.0 %,38.1 %
Latvia,2012,Fluoroquinolones,36,6,36,78,46.2 %,7.7 %,46.2 %
Latvia,2013,Fluoroquinolones,36,14,38,88,40.9 %,15.9 %,43.2 %
Lithuania,2006,Fluoroquinolones,34,0,1,35,97.1 %,0.0 %,2.9 %
Lithuania,2007,Fluoroquinolones,33,3,3,39,84.6 %,7.7 %,7.7 %
Lithuania,2008,Fluoroquinolones,36,4,12,52,69.2 %,7.7 %,23.1 %
Lithuania,2009,Fluoroquinolones,35,7,25,67,52.2 %,10.4 %,37.3 %
Lithuania,2010,Fluoroquinolones,48,3,29,80,60.0 %,3.8 %,36.3 %
Lithuania,2011,Fluoroquinolones,55,7,75,137,40.1 %,5.1 %,54.7 %
Lithuania,2012,Fluoroquinolones,74,8,102,184,40.2 %,4.3 %,55.4 %
Lithuania,2013,Fluoroquinolones,71,8,65,144,49.3 %,5.6 %,45.1 %
Luxembourg,2006,Fluoroquinolones,17,0,1,18,94.4 %,0.0 %,5.6 %
Luxembourg,2007,Fluoroquinolones,46,0,6,52,88.5 %,0.0 %,11.5 %
Luxembourg,2008,Fluoroquinolones,42,3,6,51,82.4 %,5.9 %,11.8 %
Luxembourg,2009,Fluoroquinolones,22,0,6,28,78.6 %,0.0 %,21.4 %
Luxembourg,2010,Fluoroquinolones,55,0,4,59,93.2 %,0.0 %,6.8 %
Luxembourg,2011,Fluoroquinolones,32,0,16,48,66.7 %,0.0 %,33.3 %
Luxembourg,2012,Fluoroquinolones,30,4,16,50,60.0 %,8.0 %,32.0 %
Luxembourg,2013,Fluoroquinolones,36,5,12,53,67.9 %,9.4 %,22.6 %
Malta,2005,Fluoroquinolones,16,0,2,18,88.9 %,0.0 %,11.1 %
Malta,2006,Fluoroquinolones,30,0,2,32,93.8 %,0.0 %,6.3 %
Malta,2007,Fluoroquinolones,25,0,3,28,89.3 %,0.0 %,10.7 %
Malta,2008,Fluoroquinolones,33,0,3,36,91.7 %,0.0 %,8.3 %
Malta,2009,Fluoroquinolones,37,0,1,38,97.4 %,0.0 %,2.6 %
Malta,2010,Fluoroquinolones,48,0,9,57,84.2 %,0.0 %,15.8 %
Malta,2011,Fluoroquinolones,43,2,7,52,82.7 %,3.8 %,13.5 %
Malta,2012,Fluoroquinolones,41,1,15,57,71.9 %,1.8 %,26.3 %
Malta,2013,Fluoroquinolones,47,3,19,69,68.1 %,4.3 %,27.5 %
Netherlands,2005,Fluoroquinolones,270,3,17,290,93.1 %,1.0 %,5.9 %
Netherlands,2006,Fluoroquinolones,414,8,19,441,93.9 %,1.8 %,4.3 %
Netherlands,2007,Fluoroquinolones,445,11,22,478,93.1 %,2.3 %,4.6 %
Netherlands,2008,Fluoroquinolones,417,12,30,459,90.8 %,2.6 %,6.5 %
Netherlands,2009,Fluoroquinolones,370,7,16,393,94.1 %,1.8 %,4.1 %
Netherlands,2010,Fluoroquinolones,591,8,45,644,91.8 %,1.2 %,7.0 %
Netherlands,2011,Fluoroquinolones,658,17,53,728,90.4 %,2.3 %,7.3 %
Netherlands,2012,Fluoroquinolones,619,15,36,670,92.4 %,2.2 %,5.4 %
Netherlands,2013,Fluoroquinolones,583,16,39,638,91.4 %,2.5 %,6.1 %
Norway,1999,Fluoroquinolones,14,1,0,15,93.3 %,6.7 %,0.0 %
Norway,2000,Fluoroquinolones,18,3,0,21,85.7 %,14.3 %,0.0 %
Norway,2001,Fluoroquinolones,18,1,0,19,94.7 %,5.3 %,0.0 %
Norway,2002,Fluoroquinolones,28,0,0,28,100.0 %,0.0 %,0.0 %
Norway,2003,Fluoroquinolones,36,2,0,38,94.7 %,5.3 %,0.0 %
Norway,2004,Fluoroquinolones,34,3,0,37,91.9 %,8.1 %,0.0 %
Norway,2005,Fluoroquinolones,163,7,2,172,94.8 %,4.1 %,1.2 %
Norway,2006,Fluoroquinolones,220,11,17,248,88.7 %,4.4 %,6.9 %
Norway,2007,Fluoroquinolones,278,16,14,308,90.3 %,5.2 %,4.5 %
Norway,2008,Fluoroquinolones,315,19,13,347,90.8 %,5.5 %,3.7 %
Norway,2009,Fluoroquinolones,350,20,22,392,89.3 %,5.1 %,5.6 %
Norway,2010,Fluoroquinolones,424,17,35,476,89.1 %,3.6 %,7.4 %
Norway,2011,Fluoroquinolones,395,17,15,427,92.5 %,4.0 %,3.5 %
Norway,2012,Fluoroquinolones,566,6,24,596,95.0 %,1.0 %,4.0 %
Norway,2013,Fluoroquinolones,578,8,30,616,93.8 %,1.3 %,4.9 %
Poland,2005,Fluoroquinolones,34,1,18,53,64.2 %,1.9 %,34.0 %
Poland,2006,Fluoroquinolones,30,0,12,42,71.4 %,0.0 %,28.6 %
Poland,2007,Fluoroquinolones,28,3,1,32,87.5 %,9.4 %,3.1 %
Poland,2008,Fluoroquinolones,13,0,6,19,68.4 %,0.0 %,31.6 %
Poland,2009,Fluoroquinolones,85,9,45,139,61.2 %,6.5 %,32.4 %
Poland,2010,Fluoroquinolones,138,10,73,221,62.4 %,4.5 %,33.0 %
Poland,2011,Fluoroquinolones,143,13,213,369,38.8 %,3.5 %,57.7 %
Poland,2012,Fluoroquinolones,138,5,216,359,38.4 %,1.4 %,60.2 %
Poland,2013,Fluoroquinolones,105,7,262,374,28.1 %,1.9 %,70.1 %
Portugal,2005,Fluoroquinolones,1,0,0,1,100.0 %,0.0 %,0.0 %
Portugal,2006,Fluoroquinolones,245,4,61,310,79.0 %,1.3 %,19.7 %
Portugal,2007,Fluoroquinolones,291,8,67,366,79.5 %,2.2 %,18.3 %
Portugal,2008,Fluoroquinolones,395,18,115,528,74.8 %,3.4 %,21.8 %
Portugal,2009,Fluoroquinolones,378,11,148,537,70.4 %,2.0 %,27.6 %
Portugal,2010,Fluoroquinolones,391,3,180,574,68.1 %,0.5 %,31.4 %
Portugal,2011,Fluoroquinolones,374,19,224,617,60.6 %,3.1 %,36.3 %
Portugal,2012,Fluoroquinolones,482,17,278,777,62.0 %,2.2 %,35.8 %
Portugal,2013,Fluoroquinolones,574,12,325,911,63.0 %,1.3 %,35.7 %
Romania,2005,Fluoroquinolones,2,0,1,3,66.7 %,0.0 %,33.3 %
Romania,2006,Fluoroquinolones,18,1,10,29,62.1 %,3.4 %,34.5 %
Romania,2007,Fluoroquinolones,21,2,7,30,70.0 %,6.7 %,23.3 %
Romania,2008,Fluoroquinolones,3,1,1,5,60.0 %,20.0 %,20.0 %
Romania,2009,Fluoroquinolones,17,0,2,19,89.5 %,0.0 %,10.5 %
Romania,2010,Fluoroquinolones,10,2,5,17,58.8 %,11.8 %,29.4 %
Romania,2011,Fluoroquinolones,7,0,3,10,70.0 %,0.0 %,30.0 %
Romania,2012,Fluoroquinolones,48,2,50,100,48.0 %,2.0 %,50.0 %
Romania,2013,Fluoroquinolones,100,3,110,213,46.9 %,1.4 %,51.6 %
Slovakia,2011,Fluoroquinolones,133,3,329,465,28.6 %,0.6 %,70.8 %
Slovakia,2012,Fluoroquinolones,119,6,251,376,31.6 %,1.6 %,66.8 %
Slovakia,2013,Fluoroquinolones,154,8,327,489,31.5 %,1.6 %,66.9 %
Slovenia,2005,Fluoroquinolones,67,0,11,78,85.9 %,0.0 %,14.1 %
Slovenia,2006,Fluoroquinolones,109,5,31,145,75.2 %,3.4 %,21.4 %
Slovenia,2007,Fluoroquinolones,119,6,45,170,70.0 %,3.5 %,26.5 %
Slovenia,2008,Fluoroquinolones,113,4,40,157,72.0 %,2.5 %,25.5 %
Slovenia,2009,Fluoroquinolones,136,2,51,189,72.0 %,1.1 %,27.0 %
Slovenia,2010,Fluoroquinolones,143,4,49,196,73.0 %,2.0 %,25.0 %
Slovenia,2011,Fluoroquinolones,144,6,82,232,62.1 %,2.6 %,35.3 %
Slovenia,2012,Fluoroquinolones,167,3,84,254,65.7 %,1.2 %,33.1 %
Slovenia,2013,Fluoroquinolones,162,3,80,245,66.1 %,1.2 %,32.7 %
Spain,2005,Fluoroquinolones,50,0,6,56,89.3 %,0.0 %,10.7 %
Spain,2006,Fluoroquinolones,513,3,47,563,91.1 %,0.5 %,8.3 %
Spain,2007,Fluoroquinolones,505,9,103,617,81.8 %,1.5 %,16.7 %
Spain,2008,Fluoroquinolones,537,7,95,639,84.0 %,1.1 %,14.9 %
Spain,2009,Fluoroquinolones,517,11,99,627,82.5 %,1.8 %,15.8 %
Spain,2010,Fluoroquinolones,966,37,158,1161,83.2 %,3.2 %,13.6 %
Spain,2011,Fluoroquinolones,934,16,195,1145,81.6 %,1.4 %,17.0 %
Spain,2012,Fluoroquinolones,928,32,190,1150,80.7 %,2.8 %,16.5 %
Spain,2013,Fluoroquinolones,938,32,271,1241,75.6 %,2.6 %,21.8 %
Sweden,1999,Fluoroquinolones,1,0,0,1,100.0 %,0.0 %,0.0 %
Sweden,2005,Fluoroquinolones,238,14,13,265,89.8 %,5.3 %,4.9 %
Sweden,2006,Fluoroquinolones,485,44,29,558,86.9 %,7.9 %,5.2 %
Sweden,2007,Fluoroquinolones,575,29,41,645,89.1 %,4.5 %,6.4 %
Sweden,2008,Fluoroquinolones,631,44,51,726,86.9 %,6.1 %,7.0 %
Sweden,2009,Fluoroquinolones,1,0,0,1,100.0 %,0.0 %,0.0 %
Sweden,2012,Fluoroquinolones,45,0,0,45,100.0 %,0.0 %,0.0 %
Sweden,2013,Fluoroquinolones,1206,14,50,1270,95.0 %,1.1 %,3.9 %
United Kingdom,2005,Fluoroquinolones,325,2,45,372,87.4 %,0.5 %,12.1 %
United Kingdom,2006,Fluoroquinolones,328,5,48,381,86.1 %,1.3 %,12.6 %
United Kingdom,2007,Fluoroquinolones,299,6,41,346,86.4 %,1.7 %,11.8 %
United Kingdom,2008,Fluoroquinolones,304,1,23,328,92.7 %,0.3 %,7.0 %
United Kingdom,2009,Fluoroquinolones,618,4,38,660,93.6 %,0.6 %,5.8 %
United Kingdom,2010,Fluoroquinolones,704,7,57,768,91.7 %,0.9 %,7.4 %
United Kingdom,2011,Fluoroquinolones,928,12,45,985,94.2 %,1.2 %,4.6 %
United Kingdom,2012,Fluoroquinolones,950,9,77,1036,91.7 %,0.9 %,7.4 %
United Kingdom,2013,Fluoroquinolones,1051,4,100,1155,91.0 %,0.3 %,8.7 %
